,Open,High,Low,Close,trade_count,vwap,Volume,Adj Close,RSI,MACD,Signal_Line,Middle_Band,Upper_Band,Lower_Band
2025-06-17 09:30:00-04:00,600.22,600.86,600.015,600.48,74.0,600.5306,6428.0,600.48,31.26159554731035,-0.02058481777794441,0.07012010935763158,602.34375,603.4045782526548,601.2829217473452
2025-06-17 09:31:00-04:00,600.52,600.78,600.46,600.635,45.0,600.6087,4037.0,600.635,35.728155339805824,-0.1473906766758546,0.02661795215093434,602.2639999999999,603.5718813734001,600.9561186265997
2025-06-17 09:32:00-04:00,600.59,600.66,600.42,600.52,36.0,600.5319,3523.0,600.52,34.261036468330715,-0.254234119667899,-0.02955246221283233,602.1679999999999,603.6864042879338,600.649595712066
2025-06-17 09:33:00-04:00,600.57,600.57,600.26,600.32,39.0,600.3534,3871.0,600.32,30.754536771728922,-0.351000530904912,-0.09384207595124827,602.0625,603.783896312828,600.341103687172
2025-06-17 09:34:00-04:00,600.31,600.44,600.28,600.43,77.0,600.3838,8781.0,600.43,33.10875842155866,-0.414039735937763,-0.15788160794855122,601.9612500000001,603.8183101420182,600.104189857982
2025-06-17 09:35:00-04:00,600.38,600.465,600.19,600.32,58.0,600.351,5757.0,600.32,28.93954410307076,-0.4674859537163911,-0.2198024771021192,601.84775,603.8170899248184,599.8784100751816
2025-06-17 09:36:00-04:00,600.24,600.36,600.2,600.2,39.0,600.2517,3265.0,600.2,26.99507389162504,-0.5136049453808482,-0.278562970757865,601.73275,603.8075143499673,599.6579856500327
2025-06-17 09:37:00-04:00,600.13,600.19,599.98,600.05,43.0,600.0627,2374.0,600.05,26.601941747571402,-0.5558508226635013,-0.33402054113899227,601.6299999999999,603.8270794016967,599.4329205983031
2025-06-17 09:38:00-04:00,600.2,600.36,600.17,600.36,31.0,600.2346,1586.0,600.36,33.56643356643336,-0.557885617427246,-0.378793556396643,601.54,603.7924372770016,599.2875627229984
2025-06-17 09:39:00-04:00,600.435,600.555,600.435,600.515,47.0,600.497,4148.0,600.515,36.0510805500981,-0.5407574866304685,-0.4111863424434081,601.449,603.7132289270714,599.1847710729285
2025-06-17 09:40:00-04:00,600.48,600.74,600.47,600.595,68.0,600.593,5082.0,600.595,26.02272727272576,-0.5147937660731259,-0.43190782716935167,601.3695,603.6365730033683,599.1024269966317
2025-06-17 09:41:00-04:00,600.665,600.78,600.44,600.44,83.0,600.7034,6275.0,600.44,19.194312796208138,-0.5009498965074499,-0.44571624103697133,601.26925,603.513281323654,599.0252186763461
